originTAZ,destTAZ,tt_da,cost_da,tt_sr,cost_sr,tt_walk,tt_bike,tt_wt,accTime_wt,egrTime_wt,iWait_wt,xWait_wt,cost_wt,tt_dt,accTime_dt,egrTime_dt,iWait_dt,xWait_dt,cost_dt,weights,dist_car,accDist_dt,avail_da,avail_sr,avail_walk,avail_bike,avail_wt,avail_dt,choice,obsID
51,40,26.27,0.52235,26.27,0.26118,54.72,9.42,24.13,1.5,2.1,7,0,1.66,57.675,32.36,30.19,6.88,5.33,4.92,86,2.96,18.29,1,1,1,1,1,1,5,7757
51,4,45.67,1.0518,45.67,0.52588,113.06,19.47,46.875,3.3,6.9,5,0,1.66,35.6,34.36,34.45,3.38,0,3.26,86,5.96,17.77,1,1,1,1,1,1,5,7758
51,4,45.67,1.0518,45.67,0.52588,113.06,19.47,46.875,3.3,6.9,5,0,1.66,35.6,34.36,34.45,3.38,0,3.26,86,5.96,17.77,1,1,1,1,1,1,5,7759
727,1121,131.84,11.125,99.36,5.5624,1086.97,187.2,0,0,0,0,0,0,30.875,72.51,61.92,12.32,14.32,3.67,76,63.04,55.86,1,1,0,0,0,1,1,7760
727,1121,131.84,11.125,99.36,5.5624,1086.97,187.2,0,0,0,0,0,0,30.665,72.51,69.91,10.57,10.57,3.67,76,63.04,56.15,1,1,0,0,0,1,1,7761
314,256,59.25,3.6106,56.67,1.8053,345.74,59.54,70.305,23.7,23.7,13.875,6.875,3.51,30,19.04,19.12,22,0,2.34,50.5,20.46,2.84,1,1,0,1,1,1,1,7762
314,256,59.25,3.6106,56.67,1.8053,345.74,59.54,82.005,19.4,23.7,16.875,5,2.925,30,19.04,18.81,22,0,2.34,50.5,20.46,2.84,1,1,0,1,1,1,1,7763
365,434,67.53,4.8971,53.27,2.4485,515.94,88.86,98.765,12.8,12.8,24,40,4.28,31.63,27.78,33.12,20,5,2.83,69,27.75,16.23,1,1,0,0,1,1,1,7764
365,434,67.53,4.8971,53.27,2.4485,515.94,88.86,99.815,12.8,12.8,17,22.185,4.28,47.13,14.98,15.34,15,17.86,4,69,27.75,6.02,1,1,0,0,1,1,1,7765
918,2,91.51,5.8912,86.07,1.4371,449.4,77.4,70.505,19.8,13.2,11.07,2.5,3.76,35.8,13.43,13.93,5,0,3.66,91,24.43,5.33,1,1,0,0,1,1,2,7766
628,410,45.53,2.7547,38.7,1.3774,256.34,44.15,0,0,0,0,0,0,4.58,50.96,50.37,10,0,1.66,131,15.61,16.36,1,1,0,0,0,1,1,7767
628,408,46.99,3.0971,46.99,1.5485,265.03,45.64,0,0,0,0,0,0,8.54,32.82,31.12,15,0,1.66,131,17.55,17.69,1,1,0,0,0,1,1,7768
251,257,23.86,0.73412,23.86,0.36706,80.47,13.86,16.54,13.2,13.2,12,0,2.34,6,13.03,13.03,24,0,2.34,55,4.16,1.12,1,1,1,1,1,1,1,7769
251,257,23.86,0.73412,23.86,0.36706,80.47,13.86,16.54,13.2,13.2,12,0,2.34,6,13.03,13.03,24,0,2.34,55,4.16,1.12,1,1,1,1,1,1,1,7770
649,404,62.19,6.1747,62.19,3.0874,568.03,97.83,0,0,0,0,0,0,95.56,26.88,25.61,17,25,3.78,123.5,34.99,13.64,1,1,0,0,0,1,2,7771
649,404,79.75,6.1959,70.25,3.0979,568.03,97.83,0,0,0,0,0,0,95.805,28.49,29.62,17,20,3.78,123.5,35.11,13.66,1,1,0,0,0,1,2,7772
649,404,62.19,6.1747,62.19,3.0874,568.03,97.83,0,0,0,0,0,0,95.56,26.88,25.61,17,25,3.78,123.5,34.99,13.64,1,1,0,0,0,1,1,7773
649,404,62.19,6.1747,62.19,3.0874,568.03,97.83,0,0,0,0,0,0,95.735,26.88,29.62,17,20,3.78,123.5,34.99,13.64,1,1,0,0,0,1,2,7774
659,476,55.34,6.5788,55.34,3.2894,611.32,105.28,141.19,22.8,22.8,18.92,62,7.19,117.02,17.24,17.24,17,38.5,5.9,56.5,37.28,2.62,1,1,0,0,1,1,1,7775
659,476,74.47,6.5418,56.25,3.2709,611.32,105.28,130.99,22.8,22.8,11.25,31.39,8.02,124.45,17.24,17.24,12.5,22.5,5.9,56.5,37.07,2.62,1,1,0,0,1,1,1,7776
741,715,65.09,4.2706,64.7,2.1353,335.5,57.78,0,0,0,0,0,0,0,0,0,0,0,0,61,24.2,0,1,1,0,0,0,0,1,7777
741,715,65.09,4.2706,64.7,2.1353,335.5,57.78,0,0,0,0,0,0,0,0,0,0,0,0,61,24.2,0,1,1,0,0,0,0,1,7778
741,1161,72.17,5.6682,59.64,2.8341,563.19,96.99,0,0,0,0,0,0,0,0,0,0,0,0,61,32.12,0,1,1,0,0,0,0,1,7779
1125,715,176.75,13.837,144.28,6.9185,1342.92,231.28,0,0,0,0,0,0,0,0,0,0,0,0,63,78.41,0,1,1,0,0,0,0,1,7780
1125,715,176.75,13.837,144.28,6.9185,1342.92,231.28,0,0,0,0,0,0,0,0,0,0,0,0,63,78.41,0,1,1,0,0,0,0,2,7781
1171,810,110.63,7.95,100.14,3.975,636.87,109.68,0,0,0,0,0,0,0,0,0,0,0,0,93,45.05,0,1,1,0,0,0,0,1,7782
1171,810,110.63,7.95,100.14,3.975,636.87,109.68,0,0,0,0,0,0,0,0,0,0,0,0,93,45.05,0,1,1,0,0,0,0,1,7783
1028,2,103.53,6.2141,103.53,3.1071,480.83,82.81,54.23,22.6,20,10.23,10.23,6.07,51.8,11.84,12.06,15,0,4.14,30.5,26.26,4.15,1,1,0,0,1,1,5,7784
1028,2,103.53,6.2141,103.53,3.1071,480.83,82.81,54.23,22.6,20,10.23,10.23,6.07,51.8,11.84,12.06,15,0,4.14,30.5,26.26,4.15,1,1,0,0,1,1,5,7785
1028,2,103.53,6.2141,103.53,3.1071,480.83,82.81,54.23,22.6,20,10.23,10.23,6.07,51.8,11.84,12.06,15,0,4.14,30.5,26.26,4.15,1,1,0,0,1,1,2,7786
1028,991,38.79,1.4824,38.79,0.74118,162.08,27.91,39.145,25,22.4,8.73,13.1,3.67,12,18.63,19.1,24,0,7.42,30.5,8.4,6.58,1,1,0,1,1,1,2,7787
152,234,48.23,3.3141,48.23,1.6571,320.5,55.2,64.895,27.6,25.5,9,23.32,6.67,44.265,36.17,31.93,6.95,7.5,4.9,335.5,18.78,12.54,1,1,0,1,1,1,1,7788
152,12,46.51,1.9006,46.51,0.95029,203.77,35.09,38.41,16.6,15,11,0,1.66,35.6,18.01,16.93,3.38,0,3.26,335.5,10.77,11.15,1,1,0,1,1,1,2,7789
152,12,46.51,1.9006,46.51,0.95029,203.77,35.09,38.41,16.6,15,11,0,1.66,35.6,18.01,16.93,3.38,0,3.26,335.5,10.77,11.15,1,1,0,1,1,1,1,7790
1119,1123,26.1,1.62,26.1,0.81,168.96,29.1,20.125,10.8,11.6,6.62,12.6,2.12,22.24,10.8,10.02,6.62,7.5,1.89,64.5,9.18,2.69,1,1,0,1,0,0,1,7791
1131,1157,69.68,3.6971,69.68,1.8485,377.86,65.08,0,0,0,0,0,0,0,0,0,0,0,0,74,20.95,0,1,1,0,0,0,0,1,7792
1131,1018,89.47,5.8447,89.47,2.9224,576.15,99.23,0,0,0,0,0,0,50.075,23.2,20.97,8.395,12.09,4.195,74,33.12,10.55,1,1,0,0,0,1,1,7793
1131,1121,31.49,1.5353,31.49,0.76765,168.24,28.97,0,0,0,0,0,0,30.875,31.76,29.36,12.32,14.32,3.67,74,8.7,10.8,1,1,0,0,0,1,1,7794
1131,1162,41.22,3.1588,41.22,1.5794,320.13,55.13,0,0,0,0,0,0,39.13,26.79,26.79,19.5,22.5,3.67,74,17.9,8.38,1,1,0,0,0,1,1,7795
1130,1121,17.5,0.70941,17.5,0.35471,77.75,13.39,19.895,21.4,21.4,24,27.5,4.24,30.665,24.93,24.31,10.57,10.57,3.67,64.5,4.02,7.16,1,1,1,1,1,1,1,7796
1130,1121,17.5,0.70941,17.5,0.35471,77.75,13.39,19.895,21.4,21.4,24,27.5,4.24,30.665,24.93,24.31,10.57,10.57,3.67,64.5,4.02,7.16,1,1,1,1,1,1,1,7797
426,531,64.07,4.8053,52.63,2.4026,400.24,68.93,63.405,18,18,22,45,5.22,40.2,14.68,34.24,17.5,25,4.95,33,27.23,13.54,1,1,0,0,1,1,1,7798
426,531,64.07,4.8053,52.63,2.4026,400.24,68.93,63.405,18,18,22,45,5.22,40.2,14.68,34.24,17.5,25,4.95,33,27.23,13.54,1,1,0,0,1,1,1,7799
426,251,120.38,9.1535,98.48,4.5768,905.19,155.89,86,20.2,20.2,22,0,4,86,12.68,12.74,22,0,4,33,51.87,1.1,1,1,0,0,1,1,1,7800
426,251,120.38,9.1535,98.48,4.5768,905.19,155.89,86,20.2,20.2,22,0,4,86,12.68,12.7,22,0,4,33,51.87,1.1,1,1,0,0,1,1,1,7801
1033,1003,29.88,1.1929,29.88,0.39765,130.4,22.46,30.805,21.4,21.4,15,0,2.12,9,21.84,21.24,7.5,0,1.66,30,6.76,3.5,1,1,1,1,1,1,2,7802
1033,1137,105.71,6.8135,105.71,3.4068,712.68,122.74,87.34,18.4,18.4,14.33,29.33,7.68,72.935,18.84,19.9,14.75,22.25,5.75,30,38.61,3.5,1,1,0,0,1,1,5,7803
1033,1137,105.71,6.8135,105.71,3.4068,712.68,122.74,87.34,18.4,18.4,14.33,29.33,7.68,72.935,18.84,19.9,14.75,22.25,5.75,30,38.61,3.5,1,1,0,0,1,1,1,7804
1116,760,189.42,14.314,159.67,7.1568,1480.47,254.97,196.48,23.4,23.4,19.5,33.75,8.41,196.48,9.33,9.48,19.5,33.75,8.41,77,81.11,1.78,1,1,0,0,1,1,1,7805
64,1425,69.83,9.5053,69.83,4.7526,769.68,132.56,65.445,5.2,11,12,15,2.39,81.41,25.85,11,1.88,23,4.02,53.5,40.49,7.11,1,1,0,0,1,0,5,7806
64,1425,69.83,9.5053,69.83,4.7526,769.68,132.56,65.445,5.2,11,12,15,2.39,81.41,25.85,11,1.88,23,4.02,53.5,40.49,7.11,1,1,0,0,1,0,5,7807
665,582,32.1,2.1194,29.42,1.0597,231.97,39.95,64.105,19.6,19.6,15,41.79,8.48,15.9,31,31.03,15,0,2.12,64.5,12.01,15.55,1,1,0,1,1,1,1,7808
665,582,32.1,2.1194,29.42,0.70647,231.97,39.95,64.105,19.6,19.6,15,41.79,8.48,15.9,31,31.03,15,0,2.12,64.5,12.01,15.55,1,1,0,1,1,1,2,7809
392,403,31,1.5847,31,0.79235,168.71,29.06,22.96,5.4,10,12,10,2.12,21,16.12,16.04,15,0,1.66,44,8.98,3.1,1,1,0,0,0,1,2,7810
392,403,31,1.5847,31,0.79235,168.71,29.06,22.96,5.4,10,12,10,2.12,21,16.12,16.04,15,0,1.66,44,8.98,3.1,1,1,0,0,0,1,2,7811
1106,1168,116.44,6.7147,93.62,3.3574,702.54,120.99,0,0,0,0,0,0,0,0,0,0,0,0,38.5,38.05,0,1,1,0,0,0,0,1,7812
1106,1138,26.17,1.14,26.17,0.57,125.12,21.55,0,0,0,0,0,0,0,0,0,0,0,0,38.5,6.46,0,1,1,1,0,0,0,1,7813
1106,1138,26.17,1.14,26.17,0.57,125.12,21.55,0,0,0,0,0,0,0,0,0,0,0,0,38.5,6.46,0,1,1,1,0,0,0,1,7814
1068,1068,7.3,0.21529,7.3,0.10765,32.93,5.67,0,0,0,0,0,0,0,0,0,0,0,0,270.5,1.22,0,0,1,1,0,1,0,5,7815
1068,1068,7.3,0.21529,7.3,0.10765,32.93,5.67,0,0,0,0,0,0,0,0,0,0,0,0,270.5,1.22,0,0,1,1,0,0,0,3,7816
1084,628,257.79,21.443,217.57,10.721,2128.06,366.5,0,0,0,0,0,0,0,0,0,0,0,0,180,121.51,0,1,1,0,0,0,0,1,7817
742,778,96.71,6.1376,96.71,3.0688,554.77,95.54,94.97,19.6,16.8,17.5,36.25,6.87,48,18.9,38.7,17.5,3.75,3.26,50,34.78,15.55,1,1,0,0,1,1,1,7818
742,778,96.71,6.1376,96.71,3.0688,554.77,95.54,94.97,19.6,16.8,17.5,36.25,6.87,48,18.9,38.7,17.5,3.75,3.26,50,34.78,15.55,1,1,0,0,1,1,1,7819
900,875,23.7,1.5247,23.7,0.76235,132.49,22.82,14.76,26,26,20.5,0,2.12,18.67,25.49,25.41,9.32,8.98,3.67,109,8.64,6.26,1,1,1,0,1,1,2,7820
900,875,23.29,1.5247,23.29,0.76235,132.49,22.82,14.54,26,26,20.5,0,2.12,34.81,28.9,25.56,15.98,2.5,2.95,109,8.64,7.26,1,1,1,0,1,1,1,7821
900,875,23.29,1.5247,23.29,0.76235,132.49,22.82,14.54,26,26,20.5,0,2.12,34.81,28.9,25.56,15.98,2.5,2.95,109,8.64,7.26,1,1,1,0,1,1,1,7822
900,875,24.29,1.5247,24.29,0.76235,132.49,22.82,14.685,26,26,19.5,0,2.12,19.6,25.64,25.41,9.32,8,3.67,109,8.64,6.26,1,1,1,0,1,1,1,7823
476,408,53.25,3.3635,47.15,1.6818,307.43,52.95,101.94,21.6,21.6,22,35,3.78,50.72,30.37,28.39,15,0,1.66,68.5,19.06,17.31,1,1,0,0,1,1,1,7824
476,408,53.25,3.3635,47.15,1.6818,307.43,52.95,99.355,21.6,21.6,24,12.5,4.01,50.72,30.37,31.91,10,0,1.66,68.5,19.06,17.31,1,1,0,0,1,1,1,7825
89,15,55.66,1.6271,55.66,0.81353,155.62,26.8,33.1,9,9,8,0,1.66,38.4,25.8,25.94,3.38,0,3.26,51,9.22,11.91,1,1,0,1,1,1,5,7826
89,15,55.66,1.6271,55.66,0.81353,155.62,26.8,33.1,9,9,9,0,1.66,38.4,25.8,25.17,3.76,0,3.26,51,9.22,11.89,1,1,0,1,1,1,5,7827
1014,91,90.75,6.9376,90.75,3.4688,548.69,94.5,104.08,25.8,28.3,8.73,26.54,7.565,69.53,20.67,23.7,9.75,10,5.32,37.5,30.36,8.6,1,1,0,0,1,1,1,7828
1166,415,113.87,14.372,113.87,7.1859,1458.83,251.24,0,0,0,0,0,0,38.9,46.04,17.6,12,5,6.26,70.5,81.44,21.64,1,1,0,0,0,0,1,7829
1166,430,120.82,15.108,120.82,7.5538,1517.23,261.3,0,0,0,0,0,0,56.78,46.04,6.4,12,12.5,7.32,70.5,85.61,21.64,1,1,0,0,0,0,1,7830
457,397,37.17,1.9518,35.63,0.97588,209.4,36.06,69.885,22.3,15.8,23,23.75,4.145,4.04,24.36,23.15,10,0,1.66,33,11.06,11.57,1,1,0,0,1,1,1,7831
457,397,34.34,2.5306,34.34,1.2653,209.4,36.06,66.64,16.4,15.8,17,24.57,4.95,4.04,23.34,24.85,10,0,1.66,33,14.34,12.04,1,1,0,0,1,1,1,7832
457,397,37.17,1.9518,35.63,0.97588,209.4,36.06,93.82,16.1,15.8,21,38.75,3.915,4.04,24.36,22.62,15,0,1.66,33,11.06,11.57,1,1,0,0,1,1,1,7833
457,484,21.4,0.74824,21.4,0.37412,82.11,14.14,19.56,22,22,22,30,4.24,90.14,30.06,27.81,15,22.785,4.445,33,4.24,10.94,1,1,1,0,1,1,1,7834
457,484,21.4,0.74824,21.4,0.37412,82.11,14.14,19.56,22,22,22,30,4.24,90.14,30.06,27.81,15,22.785,4.445,33,4.24,10.94,1,1,1,0,1,1,1,7835
940,975,18.89,0.48,18.89,0.24,52.79,9.09,9.16,10.2,16.8,20.5,0,2.12,14.805,20.48,19.12,7.5,3.75,2.61,52.5,2.72,4.74,1,1,1,1,1,1,6,7836
940,975,18.91,0.48,18.91,0.24,52.79,9.09,9.35,10.2,16.8,18,0,2.12,14.745,20.51,19.12,6.88,3.21,2.61,52.5,2.72,4.74,1,1,1,1,1,1,1,7837
995,971,33.48,1.2688,33.48,0.63441,133.44,22.98,14,18.4,18.4,7.5,0,1.66,14,10.46,10.52,7.5,0,1.66,38.5,7.19,1.18,1,1,1,1,1,1,5,7838
995,16,83.23,5.2118,83.23,2.6059,377.03,64.93,42.8,17.6,17.8,15,0,3.86,35.8,15.36,16.31,5,0,3.66,38.5,20.58,4.04,1,1,0,1,1,1,5,7839
995,16,83.23,5.2118,83.23,2.6059,377.03,64.93,42.8,17.6,17.8,15,0,3.86,35.8,15.36,16.31,5,0,3.66,38.5,20.58,4.04,1,1,0,1,1,1,5,7840
995,1014,27.68,0.98824,27.68,0.49412,107.27,18.48,18.115,22.6,22.6,24,0,0,29.865,21.96,23.12,5.85,5.84,3.67,38.5,5.6,1.18,1,1,1,1,1,1,4,7841
995,1014,27.68,0.98824,27.68,0.49412,107.27,18.48,18.115,22.6,22.6,24,0,0,29.865,21.96,23.12,5.85,5.84,3.67,38.5,5.6,1.18,1,1,1,1,1,1,4,7842
764,397,94.77,6.9671,71.5,3.4835,735.5,126.67,114.66,10.4,10.4,17,80.22,2.88,60.34,11.64,15.16,15,23.75,2.83,105.5,39.48,19.09,1,1,0,0,1,1,6,7843
764,397,94.77,6.9671,71.5,3.4835,735.5,126.67,114.66,10.4,10.4,17,80.22,2.88,60.34,11.64,15.16,15,23.75,2.83,105.5,39.48,19.09,1,1,0,0,1,1,6,7844
97,265,91.01,7.5565,91.01,3.7782,788.17,135.74,182.47,16,25,18,46.88,6.95,141.31,22.82,22.44,24,30,5.22,117,42.82,8.71,1,1,0,0,1,1,1,7845
1091,1113,39.61,3.2153,39.61,1.6076,287.59,49.53,83.7,24.2,14.6,15.75,30,3.9,7,30.25,30.86,11.25,0,1.66,66,18.22,15.99,1,1,0,0,1,1,1,7846
1091,1113,39.61,3.2153,39.61,1.6076,287.59,49.53,83.7,24.2,14.6,15.75,30,3.9,7,30.25,30.86,11.25,0,1.66,66,18.22,15.99,1,1,0,0,1,1,1,7847
1147,1148,20.94,0.84706,20.94,0.42353,92.88,16,0,0,0,0,0,0,54.47,19.68,19.99,19.5,47.5,3.67,52.5,4.8,4.44,1,1,1,1,0,1,1,7848
999,86,101.41,6.6041,101.41,3.3021,504.93,86.96,70.67,11.3,11.5,7.06,7.125,5.52,70.67,5.25,5.45,7.06,7.125,5.52,52.5,28.47,0.88,1,1,0,0,1,1,5,7849
1142,1097,74.04,4.8194,74.04,2.4097,485.88,83.68,0,0,0,0,0,0,0,0,0,0,0,0,37,27.31,0,1,1,0,0,0,0,1,7850
1142,1097,74.04,4.8194,74.04,2.4097,485.88,83.68,0,0,0,0,0,0,0,0,0,0,0,0,37,27.31,0,1,1,0,0,0,0,1,7851
1142,1165,44.87,2.4194,33.27,1.2097,263.03,45.3,82.845,22.2,22.2,24,69.99,6.36,83.4,26.87,31.44,15.75,58.74,5.79,37,13.71,10.79,1,1,0,1,1,1,1,7852
1142,1165,44.87,2.4194,33.27,1.2097,263.03,45.3,82.845,22.2,22.2,24,69.99,6.36,83.4,26.87,31.44,15.75,58.74,5.79,37,13.71,10.79,1,1,0,1,1,1,1,7853
1200,1092,49.98,5.31,49.98,2.655,561.14,96.64,0,0,0,0,0,0,38,26.41,27.43,24,0,8.48,123.5,30.09,14.92,1,1,0,0,0,1,1,7854
511,440,48.13,3.3247,46.93,1.6624,362.44,62.42,0,0,0,0,0,0,68.62,25.02,32.7,24,23.685,4.26,107.5,18.84,17.32,1,1,0,1,0,1,1,7855
511,440,48.13,3.3247,46.93,1.6624,362.44,62.42,0,0,0,0,0,0,68.62,25.02,32.7,24,23.685,4.26,107.5,18.84,17.32,1,1,0,1,0,1,1,7856
484,484,10.42,0.17647,10.42,0.088235,21.16,3.65,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,1,1,1,1,0,0,1,7857
484,487,25.24,0.98824,25.24,0.49412,108.45,18.68,31.59,21.2,21.2,24,45,4.24,61.935,28.5,31.46,20.5,35,4.365,30,5.6,17.02,1,1,1,1,1,1,1,7858
1047,86,114.33,7.5359,102.81,4.9479,615.6,106.02,94.3,12.4,16.4,8.25,27.33,8.01,83.86,9.69,13.24,13.75,11.75,6,71,33.75,2.86,1,1,0,0,1,1,5,7859
1179,1179,7.6,0.16588,7.6,0.082941,75.57,13.01,0,0,0,0,0,0,0,0,0,0,0,0,78.5,0.94,0,1,1,1,1,0,0,1,7860
1044,1048,27.46,1.1541,27.46,0.57706,126.41,21.77,0,0,0,0,0,0,7,29.55,30.73,7.5,0,1.66,90,6.54,6.4,1,1,1,0,0,1,2,7861
1044,1,111.7,6.7259,111.7,3.3629,541.08,93.19,0,0,0,0,0,0,56,12.59,13.54,15,0,4.34,90,29.16,5.26,1,1,0,0,0,1,6,7862
1044,1,111.7,6.7259,111.7,3.3629,541.08,93.19,0,0,0,0,0,0,56,12.59,13.54,15,0,4.34,90,29.16,5.26,1,1,0,0,0,1,6,7863
1127,1019,104.21,5.9647,104.21,2.9824,638.44,109.95,113.58,17,13.4,14.81,24.59,7.22,66.275,28.15,22.96,6.56,5.84,5.47,64.5,33.8,7.72,1,1,0,0,1,1,2,7864
1178,718,143.47,7.1435,143.47,3.5718,783.64,134.96,0,0,0,0,0,0,0,0,0,0,0,0,223.5,40.48,0,1,1,0,0,0,0,1,7865
1178,718,143.47,7.1435,143.47,3.5718,783.64,134.96,0,0,0,0,0,0,0,0,0,0,0,0,223.5,40.48,0,1,1,0,0,0,0,1,7866
1178,1163,149.49,12.771,149.49,6.3856,1199.59,206.6,0,0,0,0,0,0,0,0,0,0,0,0,223.5,72.37,0,1,1,0,0,0,0,1,7867
1178,1185,51.66,2.2835,51.66,1.1418,250.34,43.11,0,0,0,0,0,0,0,0,0,0,0,0,223.5,12.94,0,1,1,0,0,0,0,1,7868
1178,1106,130.22,8.1812,130.22,4.0906,811.24,139.71,0,0,0,0,0,0,83.235,39.43,58.34,16.25,23.46,4.2,223.5,46.36,28.105,1,1,0,0,0,1,1,7869
770,412,58.34,5.8006,58.34,2.9003,591.56,101.88,41,11,6,12,45,0.99,3.32,41.51,39.91,15,0,1.66,54,32.87,33.47,1,1,0,0,0,1,1,7870
770,412,58.34,5.8006,58.34,2.9003,591.56,101.88,41,11,6,12,45,0.99,3.32,41.51,39.91,15,0,1.66,54,32.87,33.47,1,1,0,0,0,1,1,7871
440,530,44.64,2.5024,39.99,0.83412,256.61,44.19,87.17,11.4,11.4,19.5,22.5,4.24,57.5,20.29,14.73,24,20.36,3.56,177.5,14.18,7.07,1,1,0,1,1,1,2,7872
440,530,44.64,2.5024,39.99,0.83412,256.61,44.19,83.995,11.4,11.4,24,37.5,4.24,48.82,17.09,25.61,24,17.5,4.12,177.5,14.18,13.76,1,1,0,1,1,1,2,7873
1000,1019,28.97,0.72176,28.97,0.36088,71.09,12.24,17.345,13.2,13.2,9.75,0,2.12,5,26.17,25.55,8.75,0,1.66,201,4.09,2.56,1,1,1,1,1,1,4,7874
1023,1026,11.72,0.29647,11.72,0.14824,32.48,5.59,4.88,28,28,4.82,0,2.12,11.08,12.17,12.17,6.48,7.08,3.67,34,1.68,0.8,1,1,1,1,1,1,4,7875
1023,76,71.57,6.3429,71.57,3.1715,485.36,83.59,58,20.8,21.6,15,0,4.14,58,15.97,16.77,15,0,4.14,34,26.99,0.8,1,1,0,0,1,1,5,7876
404,418,27.78,1.2176,27.78,0.60882,125.53,21.62,34.795,17.2,17.2,17,20,3.78,19.56,20.41,20.15,10,10,1.66,104,6.9,6.84,1,1,1,0,1,1,1,7877
404,418,27.96,1.2176,27.73,0.60882,125.53,21.62,34.97,17.2,17.2,17,20,3.78,19.56,20.15,20.41,10,10,1.66,104,6.9,6.84,1,1,1,0,1,1,1,7878
1132,1124,65.68,4.2618,65.68,2.1309,396.81,68.34,0,0,0,0,0,0,98.385,16.34,16.61,18.75,18.75,4.34,37.5,24.15,2.24,1,1,0,0,0,1,1,7879
1132,1124,65.68,4.2618,65.68,2.1309,396.81,68.34,0,0,0,0,0,0,98.385,16.34,16.61,18.75,18.75,4.34,37.5,24.15,2.24,1,1,0,0,0,1,1,7880
1132,1147,34.97,2.3612,34.97,1.1806,232.97,40.12,0,0,0,0,0,0,0,0,0,0,0,0,37.5,13.38,0,1,1,0,0,0,0,1,7881
1132,1147,34.97,2.3612,34.97,1.1806,232.97,40.12,0,0,0,0,0,0,0,0,0,0,0,0,37.5,13.38,0,1,1,0,0,0,0,1,7882
422,426,20.57,0.84,20.57,0.42,92.09,15.86,24.56,14.4,24,20,5,2.95,8,20.6,20.93,17.07,0,4,48,4.76,8.16,1,1,1,1,1,1,1,7883
422,426,20.57,0.84,20.57,0.42,92.09,15.86,24.56,14.4,24,20,5,2.95,8,20.6,20.93,17.07,0,4,48,4.76,8.16,1,1,1,1,1,1,1,7884
1039,928,59.39,4.0165,59.39,2.0082,369.17,63.58,75.36,11.6,11.6,5.51,13.01,6.22,66.935,7.86,7.93,7.5,7.5,4.21,38.5,22.76,2.4,1,1,0,0,1,1,1,7885
940,24,88.31,5.4624,88.31,2.7312,400.24,68.93,57.475,18.6,9.2,7.62,2.5,3.76,35.8,8.71,8.75,5,0,3.66,179,22,2.72,1,1,0,0,1,1,5,7886
991,13,81.06,4.6435,81.06,2.3218,327.25,56.36,55.825,7.6,7.6,5.37,8.5,3.66,16.8,14.31,13.36,3,0,3.14,71.5,17.36,7.44,1,1,1,0,1,1,3,7887
991,13,81.06,4.6435,75.03,1.0212,327.25,56.36,45.355,14.2,7.6,14.87,2.5,2.89,16.8,14.31,12.23,4.83,0,3.14,71.5,17.36,7.44,1,1,0,0,1,1,2,7888
708,707,13.44,0.45529,13.44,0.22765,49.83,8.58,13.87,19,19,19.5,27.5,4.24,117.06,14.86,51.04,22,12.5,4.12,67.5,2.58,25.32,1,1,1,1,1,1,1,7889
708,707,13.44,0.45529,13.44,0.22765,49.83,8.58,13.87,19,19,19.5,27.5,4.24,117.06,14.86,51.04,22,12.5,4.12,67.5,2.58,25.32,1,1,1,1,1,1,1,7890
708,706,36.18,2.0753,36.18,1.0376,205.74,35.43,0,0,0,0,0,0,0,0,0,0,0,0,67.5,11.76,0,1,1,0,1,0,0,1,7891
708,706,36.18,2.0753,36.18,1.0376,205.74,35.43,0,0,0,0,0,0,0,0,0,0,0,0,67.5,11.76,0,1,1,0,1,0,0,1,7892
708,707,14.15,0.45529,14.15,0.22765,49.83,8.58,0,0,0,0,0,0,93.645,29.28,52.76,24,10,3.06,67.5,2.58,32.63,1,1,1,1,0,1,1,7893
708,706,40.34,1.9253,40.34,0.96265,205.74,35.43,0,0,0,0,0,0,0,0,0,0,0,0,67.5,10.91,0,1,1,0,1,0,0,1,7894
708,706,40.34,1.9253,40.34,0.96265,205.74,35.43,0,0,0,0,0,0,0,0,0,0,0,0,67.5,10.91,0,1,1,0,1,0,0,1,7895
718,739,71.27,3.5629,71.27,1.7815,387.97,66.82,0,0,0,0,0,0,28,25.19,25.34,24,0,0,63,20.19,5.52,1,1,0,0,0,1,1,7896
493,460,28.8,1.2812,28.8,0.42706,139.68,24.06,0,0,0,0,0,0,43.12,36.24,28.72,19.5,37.5,3.56,78.5,7.26,17.05,1,1,1,1,0,1,2,7897
493,460,28.06,1.2812,28.06,0.64059,139.68,24.06,0,0,0,0,0,0,29.435,7.4,17.32,12,20,2.39,78.5,7.26,8.11,1,1,1,1,0,0,2,7898
520,408,61.71,3.8524,58.02,1.9262,393.66,67.8,103.23,18.4,18.4,17,20,3.78,61.98,21.48,21.71,10,0,1.66,35.5,21.83,7.88,1,1,0,0,1,1,1,7899
520,408,61.71,3.8524,58.02,1.9262,393.66,67.8,103.23,18.4,18.4,17,20,3.78,61.98,21.48,21.71,10,0,1.66,35.5,21.83,7.88,1,1,0,0,1,1,2,7900
520,522,15.19,0.61765,15.19,0.30882,67.56,11.64,8.71,20,20,24,0,2.12,17.695,15.28,15.2,24,0,2.12,35.5,3.5,2.54,1,1,1,1,1,1,1,7901
